MGH264_A01	MGH264_A02	MGH264_A03	MGH264_A04	MGH264_A05	MGH264_A06	MGH264_A07	MGH264_A08	MGH264_A10	MGH264_A11	MGH264_B01	MGH264_B02	MGH264_B03	MGH264_B04	MGH264_B05	MGH264_B06	MGH264_B10	MGH264_B11	MGH264_C01	MGH264_C03	MGH264_C04	MGH264_C05	MGH264_C08	MGH264_C12	MGH264_D01	MGH264_D02	MGH264_D03	MGH264_D04	MGH264_D05	MGH264_D08	MGH264_D09	MGH264_D10	MGH264_D12	MGH264_E01	MGH264_E03	MGH264_E05	MGH264_E06	MGH264_E08	MGH264_E10	MGH264_E12	MGH264_F01	MGH264_F02	MGH264_F03	MGH264_F04	MGH264_F07	MGH264_F09	MGH264_F10	MGH264_F12	MGH264_G01	MGH264_G02	MGH264_G03	MGH264_G04	MGH264_G06	MGH264_G08	MGH264_G09	MGH264_G10	MGH264_G11	MGH264_G12	MGH264_H01	MGH264_H02	MGH264_H03	MGH264_H04	MGH264_H08	MGH264_H10	MGH264_H12	MGH26_A02	MGH26_A03	MGH26_A05	MGH26_A07	MGH26_A08	MGH26_A09	MGH26_A12	MGH26_B01	MGH26_B02	MGH26_B05	MGH26_B06	MGH26_B10	MGH26_B12	MGH26_C01	MGH26_C03	MGH26_C05	MGH26_C12	MGH26_D01	MGH26_D03	MGH26_D06	MGH26_D07	MGH26_D08	MGH26_D10	MGH26_E02	MGH26_E04	MGH26_E05	MGH26_E06	MGH26_E07	MGH26_E08	MGH26_E10	MGH26_E12	MGH26_F02	MGH26_F05	MGH26_F08	MGH26_F09
DIP2B	4.071745523	8.806404659	0	0	0	6.476477388	4.665280892	7.894216557	2.64638629	0	0	0	0	8.036908364	8.471698845	3.139866396	0	0	0	2.350499668	2.099794726	6.990790699	0	0	5.792629081	0	2.0966469	0	0.663502416	8.035780993	0	1.481336766	6.867538199	6.009531028	0	0	7.292698602	6.568366645	0	5.351974636	2.582159434	0	9.09895374	1.626029742	5.68501407	8.85280374	7.219296988	5.158607593	0	7.309714751	8.164457613	8.718915282	7.658674816	3.391923215	1.922820516	7.211135479	8.749162708	4.718092882	4.692965893	0	7.67802803	0	7.803366695	8.511079531	9.2073674	0	0	1.011787529	0	6.610589937	0	8.661180464	0	1.794551243	2.740792433	0	4.415515254	0	1.795944352	7.121653815	0	0	0	2.384720859	0	0	0	4.355252428	0	2.34894571	8.962897857	1.488181101	4.211413141	0	3.276286758	0	0	0	0	1.140648012
DIRAS2	0	0	0	0	8.36828069	7.876213347	0	0	2.64638629	0	0	6.239164659	0	8.307769398	0	5.799630605	0	0	0	0	8.421199419	0	0	0	7.306025165	0	9.230541381	3.817685146	0	0	0	0	7.834497486	0	0	0	0	0	5.260985264	6.594254817	0	0	0	1.626029743	0	8.182707857	0	10.234316334	0	0	5.386961821	0	0	0	0	0	6.564240517	9.188248155	0	0	6.59536143	6.838086559	0	0	0	0	0	0	5.290058488	0	0	8.38116782	6.491403761	0	0	0	0	0	0	0	0	2.538913253	0	9.626793462	5.066870479	0	0	0	0	0	0	0	8.992171575	0	9.728154446	0	0	0	0	0
DIRAS3	0	0	0	0	6.666684108	0	0	9.367372632	0	0	0	0	0	0	2.756210351	0	0	0	0	0	0	0	0	0	0	0	0	0	2.773834401	0	0	0	0	8.271745221	0	0	8.282372573	4.652270193	0	0	0	0	0	0	0	0	8.918835413	0	0	0	8.443677898	0	0	0	2.996224272	7.92102664	8.743227296	0	0	0	7.533722609	0	0	0	0	0	10.977215171	0	1.471606713	0	0	0	0	0	0	0	0	6.485570184	0	0	0	8.420454035	0	0	0	4.968742605	0	0	0	0	0	0	0	0	0	0	6.157728397	0	0	0
DIS3	1.148348456	0	0	0	1.174685211	1.813769837	6.876613621	0	0	0	0	0	0	0	0	3.139866395	0	6.520150937	0	0	0	7.963819236	4.129190967	0	0	0	0	8.01483077	0.663502415	1.822991737	1.438168635	8.289192342	5.826334721	0	8.700029627	0	3.445129394	0	3.994416692	1.243609304	8.776854985	2.096925624	5.900856523	1.626029742	0	1.788236698	7.059970884	3.652245475	9.128803877	0	0	0	0	3.391923214	2.718804858	0	0	0	0	0	4.689840156	3.294428229	5.655870947	2.169400049	4.101679215	0	2.339798015	0	6.320342221	0	3.542534226	1.035820222	7.401375944	0	0	0	0	0	0	0	8.921687149	0	5.024751287	1.637477767	0	0	5.274589086	0	1.157346418	3.199913577	0	2.681685811	0	4.415923585	0	0	1.188963352	3.19820856	0.864880993	3.411209645
DIS3L	6.994652141	3.55176824	3.243285349	0	7.91390852	0	3.189773554	7.081693627	4.068921095	6.093254381	1.135902	8.508634703	0	0	0	5.011571601	2.080428694	5.943026401	0	0	0	0	2.104261736	1.897762479	0	0.79745818	8.143812564	0	8.600437412	9.046942342	0	8.861542785	6.757494941	0	8.237397757	0	3.445129394	0	4.762447042	8.108045766	6.504467319	4.369313398	0	0	8.695802868	0	0	6.349566614	0	7.851847127	0	0	3.078413016	6.277585638	7.245537023	0	8.795786891	3.238791784	0	0	8.494816832	9.813086878	0	3.522945689	0	9.6156306	0	0	0	0	5.302552565	0	0	0	3.628627543	0	7.753854976	0	0	8.793889108	9.687105242	0	6.991124416	1.637477768	0	5.945520879	0	0	0	0	0	0	0	6.059766965	5.608432151	0	9.553287367	9.81917306	3.068792016	0
DIXDC1	3.423954606	0	0	8.678851647	1.174685211	0	0	0	0	0	7.103515931	6.885461416	8.213127399	0	2.756210351	0	0	0	0	0	0	1.919723074	3.446167559	5.187551067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.437481228	0	0	0	3.974854999	0	0	0	7.486447165	0	0	3.078413016	0	0	4.2219327	0	0	5.664804583	0	0	0	3.739257797	0	0	0	0	0	0	0	5.118196196	0	0	0	4.196712501	4.988260956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.417999678	0	9.40527144	0	0	0
DKC1	0	8.70938967	7.412693631	0	3.762812481	0	3.189773553	0	0	0	0	7.771625663	0	0	0	8.80226497	0	0	0	0	0	7.335528033	8.296818889	6.371392371	0	0	7.527632745	0	2.503701318	4.020488765	0	0	0	3.33064464	0	8.872862151	7.635390152	1.880847864	8.762241717	1.219128293	0	5.333982298	7.770653481	4.145106121	8.094941259	6.197526992	4.051402039	0	0	0	5.130806515	0	0	8.825584016	8.859260184	0	0	0	2.038508889	5.456706976	3.92381075	0	0	0	9.2073674	10.117589957	2.339798015	0	8.614761119	2.983424157	8.979035796	1.364806861	0	7.895007173	0	1.125871719	0	0	0	1.001366837	0	0	0	0	0	0	0	9.840851829	8.724686105	0	0	0	0	0	0	9.915310672	7.408926647	0	5.764932963	1.140648012
DLAT	0	0	0	0	0	8.833911932	5.37932246	0	7.212444559	8.843295812	0	0	0	4.639805983	0	0	0	0	0	0	0	3.361536439	0	9.883126619	0	0	0	0	0	0	0	0	0	0	0	0	4.093701365	0	0	3.835984776	9.227862451	0	0	0	0	4.674644175	8.425289638	3.652245475	0	1.841750211	8.164457613	0	0	4.533561673	8.512971566	0	0	0	0	0	0	4.764041074	0	0	8.086506783	0	0	0	0	0	0	0	0	0	0	0	8.099737631	0	0	0	0	9.139415154	0	0	9.025943338	0	6.255832444	0	8.574459552	0	0	0	0	0	0	0	1.188963353	0	0	1.140648012
DLC1	0	0	8.609533821	0	0	0	0	0	2.64638629	2.379786027	8.098261038	3.294142337	3.531402707	7.937139083	7.731590979	5.011571602	0	0	5.697106934	3.201636545	0	0	6.981755798	0	0	0	0	6.464951908	0.663502416	6.848201856	0	0	0	0	0	1.135171812	6.511908281	4.489498954	0	1.87031349	6.146430225	0	0	8.53267714	3.471108498	0	0	5.879325854	0	0	7.982272906	2.33397871	3.078413016	2.058562562	0	0	0	0	2.03850889	0	0	0	0	0	2.334020924	4.336529354	6.211824384	5.192757454	1.471606713	0	0	0	0	0	0	0	0	0	0	5.526234993	2.240480743	0	0	0	0	0	0	0	0	5.390433196	0	0	0	0	2.417999678	7.386411504	0	0	0	0
DLD	9.685487496	7.126037762	0	2.263932843	5.997107423	8.008937973	8.452698909	0	9.823187155	8.551550603	9.500494812	6.93423989	0	8.439565315	9.105165621	8.656220573	10.135460982	10.920128325	10.064599438	10.00857169	0	7.756607448	0	8.630523729	6.077395789	8.423951334	7.393469495	9.979777537	9.179082848	9.918910784	9.37402786	6.472676006	0	0	10.420075834	8.975870372	3.600260945	9.397485355	9.539498872	8.320730252	0	4.120172671	6.524531369	8.757993846	4.966623301	8.949064746	5.795226776	0	9.180863662	6.966400637	8.499016641	9.635248411	4.944267675	7.315471332	4.455312153	9.36705108	7.64838128	0	0	6.180472161	7.831822331	4.205384873	7.803366695	8.497178731	9.339257375	9.052608967	0	0	8.786813583	2.486904837	9.097543624	9.029186466	9.307632501	8.853986668	6.911354254	10.152798209	0	9.365994456	8.418674539	5.428933651	8.072744901	2.538913253	6.579862176	9.178596925	5.066870478	8.732669565	0	0	0	0	0	0	0	0	10.170223286	0	9.086594787	8.608177285	0	10.061307861
DLG1	6.005920929	6.427106344	4.029431727	0	7.25879948	7.659980103	3.189773554	6.221709727	0	7.328895932	4.641036319	0	6.997202556	0	0	8.161013429	0	0	0	0	0	2.905898315	0	0	0	0	3.437151044	0	1.737986489	0	0	2.19665312	0	4.257101369	0	0	6.368153542	7.601175291	4.948432536	6.184185948	0	0	0	1.626029742	0	8.021752166	9.439467953	0	0	8.57263456	0	0	4.544766201	2.058562561	4.031571521	8.262654597	0	0	2.038508889	0	0	0	3.739257796	2.16940005	7.879221937	0	10.581665452	2.604555214	0	0	0	8.777914699	7.221941079	0	4.569095825	0	3.905353248	0	0	6.88852767	2.240480743	6.45297743	0	0	0	4.968742605	6.834488145	0	0	8.666605003	3.095158872	6.886888969	5.171939177	0	6.832278297	0	5.840843365	3.051186417	10.314972466	1.769602781
DLG2	6.136400601	3.959597627	0	0	0	0	0	0	0	0	0	0	7.409414057	0	0	8.923310624	0	0	1.271027412	9.472287682	0	0	5.658115788	8.334090381	0	0	0	3.282993733	0	0	0	0	0	0	0	0	0	5.907470364	5.735622248	7.556555654	0	0	0	0	7.864533092	1.15507722	0	0	0	0	2.96484144	2.33397871	0	7.34386288	0	0	3.919623891	4.718092883	0	0	8.7476995	0	0	0	0	2.275212361	0	1.600657901	0	0	3.46733685	0	0	0	9.264237043	0	0	0	0	6.360251096	0	0	0	0	0	0	5.274589087	0	0	6.05554906	0	0	0	0	3.276286759	0	0	0	0	0
DLG5	5.524007253	0	0	9.242401078	0	0	4.108470495	2.070857339	2.646386289	4.155294416	3.230036054	0	7.656001004	0	7.42833266	4.055616426	0	0	3.244887387	0	0	0	2.925914636	0	5.437476108	0	0	5.738833202	1.737986489	0	8.008232524	5.131317465	6.438896542	9.391210292	0	0	8.25927129	0	4.548886515	7.42894426	3.996846167	0	5.725071917	0	5.37007959	7.175470752	6.561968581	0	5.397107606	3.503066851	2.96484144	5.62945192	0	5.857552799	2.718804859	0	6.090253013	0	0	6.604735266	2.659093231	5.165743331	0	5.740804633	0	0	0	0	0	0	0	0	0	0	0	0	1.824788171	0	0	0	0	0	0	3.772654856	0	0	7.246361876	6.240788323	0	0	0	0	0	0	5.608432151	0	0	0	0	0
DLGAP1	0	0	0	0	0	0	0	0	0	0	8.393676021	0	0	3.782683304	0	0	0	6.931253428	9.033239807	0	0	3.074279022	5.221008714	0	0	7.959887108	0	2.424080483	0	4.020488765	0	8.721568167	0	0	9.158514844	0	0	0	0	0	0	2.096925624	0	0	0	0	0	0	7.310177624	0	4.421033927	0	0	0	0	0	0	4.160280031	0	0	0	0	0	5.999335576	0	2.275212361	2.339798015	0	0	0	9.520085354	9.750168453	0	8.447660381	0	0	0	0	8.16272019	0	0	0	0	0	0	0	0	8.712692164	0	0	7.317003258	0	0	8.134748517	8.352361882	5.720881205	6.208549487	0	5.502847057	0
DMAP1	7.732597554	2.023209724	0	8.545709855	0	0	3.189773554	0	0	0	0	0	0	7.3195375	0	0	0	0	0	0	0	0	2.104261736	7.263743347	6.420733671	0	0	0	0	0	6.753021712	4.492165865	7.534310936	0	0	0	0	0	3.994416693	0	0	0	0	0	0	0	0	0	7.892106743	1.841750211	0	0	0	0	0	0	0	9.249545651	0	0	2.184038875	0	6.450910049	7.027236197	0	9.172685836	0	8.939310687	0	0	7.963196901	6.279292338	0	6.776621506	0	0	8.145794811	0	0	0	0	0	0	8.913957071	0	0	0	0	5.577663935	0	0	7.913557456	0	6.036280634	0	5.996153889	0	0	4.053337217	0
DMD	4.730563892	8.257174289	6.421135917	4.323006152	0	9.166304185	3.189773553	0	2.646386289	9.312642287	6.985770354	4.976984299	0	1.76255776	7.691979828	2.294903689	0	0	0	2.350499667	5.009956098	2.495483803	0	5.075369102	0	0	7.42131885	0	0	9.640202312	1.402725681	4.602703414	0	0	6.846649838	5.868624175	0	3.552334963	0	7.664377115	2.582159434	0	10.285921506	2.371070345	3.471108497	10.61906344	3.1358914	5.158607592	8.687889483	9.684492435	0	6.584745633	3.078413016	0	7.53331403	0	4.472453005	6.26604233	2.851282122	0	0	10.383449991	0	8.578642729	2.334020923	9.352963947	0	0	0	9.100880598	0	0	3.984467424	6.365963538	3.628627543	0	4.856390606	5.407560104	0	0	0	0	0	3.772654855	0	0	0	0	0	0	0	0	0	0	7.740593425	0	0	0.789848842	0	5.11829366
DMTF1	8.972230838	7.661887075	0	0	3.293084001	5.816168096	8.274903374	8.682202555	5.241336566	8.869470756	9.652060135	0	0	8.109538207	9.881995613	2.294903689	0	0	1.271027411	0	7.745650485	7.640654459	9.735289269	0	0	0	2.0966469	8.949698677	5.388004413	9.926456396	7.435964832	5.626029529	6.969779377	9.503523874	6.201718329	8.128108777	0	6.348505659	7.715171178	2.658152137	2.582159434	2.972867734	8.879572812	0	8.695802868	7.060824985	9.154014426	0	8.321172982	0	9.897899042	0	6.37356684	0	7.522402361	6.48064638	7.47299302	7.174731457	0	0	9.359056173	4.205384873	5.250340257	2.224435798	8.770220141	6.812241192	0	0	0	6.504809938	0	7.542058646	0	5.340035515	4.569095825	4.03301221	9.342852984	1.947984668	0	5.172581553	0	4.900580148	0	0	5.066870478	0	8.824975949	0	0	9.330556955	5.532092043	0	0	0	4.199843533	7.252951405	6.90724693	0	0	0
DMXL1	0	0	4.165024501	0	0	0	0	2.07085734	0	8.47690136	5.539383664	0	0	4.592890522	0	8.16101343	0	0	0	0	0	7.647346696	2.104261737	1.89776248	0	0	0	0	0	0	1.402725681	7.617180764	7.631100492	3.330644641	7.773554168	0	0	6.895402403	5.630788291	0	7.136210907	2.917610407	0	0	0	0	4.05140204	4.593700284	0	7.851847127	3.869357385	0	5.731398679	7.132281318	4.853814111	0	0	3.238791784	0	0	0	0	5.972064741	0	0	0	0	5.607956749	0	0	0	0	0	1.794551243	0	0	6.318661142	9.719020119	0	0	0	0	7.211895841	0	6.045187242	0	0	0	0	0	6.927510468	0	7.72316106	0	3.810739773	0	0	0	0	0
DMXL2	1.148348457	6.334258219	0	0	1.813472312	7.966038961	0	3.406548659	5.025286766	1.633337147	8.599212172	0	7.217980799	0.846123224	3.943966348	10.266519378	0	7.512270158	0	0	0	7.001277141	0	9.845143974	0	8.280655855	3.81849941	8.301105252	9.539806864	1.822991737	7.557783277	8.953067902	7.154796719	8.353948026	8.080407968	0	8.162979196	8.869831641	3.609240698	0	2.582159434	3.437481228	0	8.94062673	0	0	0	7.627455742	0	9.83903672	7.026141882	0	3.990382672	7.226782004	0	5.972980197	9.286829402	3.238791784	0	0	1.470989583	0	7.721284393	6.98801503	4.658355468	0	0	8.398448809	0	1.723720191	0	0.608941194	0	0	2.740792433	0	0	9.157956153	0	0	0	7.916330562	0	0	0	8.831979128	0	0	0	2.34894571	0	3.948862926	0	8.580428036	0	0	0	0	5.890068453	0
DNAH6	0	0	0	0	0	4.40086432	4.665280891	0	0	0	0	0	0	0	1.955348537	0	0	0	1.271027411	0	3.822315694	0	4.378418689	0	4.258802951	0	0	3.817685146	0	0	0	0	0	5.533033979	4.442551319	0	0	1.880847864	0	0	0	0	7.057304496	0	0	0	0	0	0	3.503066851	2.96484144	0	5.25679321	0	0	0	0	0	3.747691176	0	0	3.281542646	0	2.16940005	6.123407001	0	5.513664229	0	0	0	0	0	3.444372192	0	0	0	0	0	0	0	0	4.339568062	0	0	5.066870478	4.968742605	0	2.085614451	0	3.731569345	4.562937971	0	4.211413141	0	0	0	0	0	0	0
DNAH9	1.148348457	0.820663307	0	4.453941943	0	4.841549034	0	0	0	5.023896963	0	0	7.316870295	0	0	3.139866396	2.080428694	0	0	2.350499668	1.402308489	0	5.221008715	1.89776248	0	0	0	2.424080483	0	0	0	0	0	0	0	0	0	3.552334964	2.243227219	3.164844273	0	0	0	3.964062908	0	0	0	0	0	4.74655255	0	0	0	0	0	0	3.011940749	8.036948332	2.03850889	0	2.659093231	3.281542646	0	3.906260631	4.658355468	0	4.413566184	0	0	3.352120079	0	0.608941194	0	0	9.47481471	0	0	0	0	0	0	3.948089857	6.579862177	2.874530014	0	4.968742606	0	0	0	0	0	0	0	0	2.417999678	0	0	0	0	0
DNAH10	0	0	0	3.393344162	0	2.592443801	0	0	0	0	0	0	0	0	0	0	0	0	2.389567108	0	0	1.513829026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.880847864	3.082208562	3.364070987	3.456373457	0	0	0	0	0	0	0	0	0	2.96484144	0	0	0	0	0	0	3.238791784	0	0	0	0	0	3.522945689	5.372285843	3.117924008	0	0	1.871827378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.066870478	0	0	0	0	0	4.962634944	0	0	0	0	0	0	0	0	0
DNAJA1	8.416366884	9.186261238	0	10.596950961	9.084688822	10.018792857	9.483758574	8.502847655	9.452671757	8.754790762	8.224928895	8.486999648	9.076003676	9.538431439	2.756210351	8.67012538	8.854226368	5.9430264	0	4.678074798	4.770399409	8.93927581	6.690599761	7.184840174	8.577501106	0	8.403206202	9.432469221	7.244622563	8.243358883	7.852753576	8.552835446	0	0	8.423231313	8.709290872	8.025978937	8.235949173	8.605083765	7.264225919	4.697204926	7.763848904	8.54334367	9.376226182	8.426429829	0	9.783472106	0	8.699833213	7.422682466	2.96484144	8.60372336	9.63990626	6.884247294	8.727692028	8.480417984	6.16319445	3.238791784	9.223460565	9.865385842	8.205411473	5.165743331	3.739257796	8.809898165	0	4.032343802	3.721039317	6.856165233	6.872231997	10.401716528	8.456724115	9.535220572	8.240868267	1.794551243	7.422327343	9.68633288	10.205479449	0	8.514449662	7.445660188	10.366150556	8.854572435	6.221594617	6.226749349	9.195560801	6.522658993	0	8.252225302	8.673432373	9.590155522	3.095158871	9.098088004	5.171939177	1.135435981	8.313488686	3.068966304	0	0	9.72452055	9.113750898
DNAJA2	7.470919138	8.257174289	0	7.378772313	0	2.592443801	0	7.011836729	0	0	8.195763109	8.191714499	0	7.692073245	8.781063434	8.737707516	2.080428694	10.346756647	0	0	7.26511337	7.384416148	0	6.418135852	0	7.470786288	5.82556696	7.49218648	8.315848044	9.970919617	6.662268057	2.19665312	7.065251944	0	9.158514845	6.648251391	7.713955031	7.601175292	6.670059108	7.635761302	0	7.11556025	8.291639941	7.461695648	0	7.64218107	0	5.563511971	7.617750292	0	7.419411632	0	4.944267676	6.631352042	7.149519766	7.21113548	6.330880924	0	0	0	6.647295889	5.165743332	0	0	0	0	0	0	4.83219331	7.964109562	8.424782481	3.233003244	0	6.408517711	0	0	8.299230513	4.291256271	9.218245206	7.991406321	0	0	0	0	0	4.968742606	0	7.792009163	4.810972318	0	0	7.532517737	0	0	8.877081246	8.562157119	1.188963353	10.357858834	2.099213635	0
DNAJA3	0	0	0	0	0	1.813769837	7.423058961	0	4.068921095	0	0	0	0	8.705219383	8.523394339	2.294903689	0	6.931253428	8.819711121	0	0	7.881066187	0	3.871029525	3.332261703	8.051029337	0	4.980394522	6.276011659	0	0	8.539000388	0	0	0	0	0	0	0	0	9.089398976	0	0	0	0	5.286727238	0	0	5.397107606	0	0	0	0	0	0	0	0	0	0	0	2.659093231	0	0	5.169268782	0	0	0	0	0	0	0	0	8.86304459	0	5.989323257	0	0	0	0	0	0	4.339568062	0	0	0	0	0	7.919928995	6.049081843	9.302766397	9.487476509	4.108370201	0	0	0	0	0	0	0	9.463132372
DNAJB1	10.075355612	8.704098333	0	0	0	1.813769837	8.580672518	10.211285059	6.222139659	0	1.763461848	6.918162952	10.088728673	10.030583778	0	11.33738471	0	0	9.899357289	0	4.934438898	5.104422684	11.196688937	0	0	4.107419865	13.327288135	7.265290516	1.737986489	7.919598945	7.412211289	0	0	6.009531028	0	0	7.3152749	10.101072211	7.493922565	6.470080714	7.574082128	6.770471465	10.124460935	8.922128745	8.695802868	0	6.782177993	0	0	8.471956085	0	3.714335372	0	8.643421569	5.374299598	0	7.239960074	9.124230225	8.240772649	4.97813805	0	0	5.250340257	7.339179197	0	7.901607331	0	9.667306605	9.379356013	0	0.670650541	0	9.341003364	0	5.704854401	7.516325575	6.897586169	0	0	10.651986859	8.545174953	9.961424697	0	8.951355083	5.066870478	0	8.562577644	0	0	6.999211529	0	0	0	0	6.938288889	0	0	10.18616701	7.969482004	0
DNAJB4	0	0	0	0	0	0	6.621995118	0	0	0	8.189858523	0	0	0	0	0	0	0	0	0	5.652407863	0	4.129190968	0	0	0	0	0	0	0	0	0	0	3.330644641	0	8.077887161	0	6.959005749	0	0	0	2.096925624	0	3.224425589	0	7.412110952	0	0	0	0	0	0	4.944267675	7.399022829	0	0	5.75485177	0	0	9.264887499	7.702782272	0	3.739257797	6.727251851	0	0	0	0	0	0	0	8.519723603	0	0	5.538382684	8.42574786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.417999678	0	0	0	1.401837336	0
DNAJB6	6.739364797	2.484732919	0	9.186999373	8.567911576	1.813769838	5.85481209	0	5.025286766	9.359567048	6.944284928	8.331806792	8.726241362	1.375916646	8.737951078	8.911652978	0	4.966287991	9.877846845	3.201636545	7.369154068	1.513829026	9.037998482	1.89776248	5.869261115	7.98111265	6.429710961	0	7.456091909	8.870420305	6.024945723	8.861542785	4.487941225	5.218874356	8.770253756	8.14650013	8.514708864	4.798524627	7.662958017	8.234298107	0	7.868734379	0	8.934487051	6.93159698	8.479049053	0	9.763158332	7.973074032	8.611951978	7.026141882	8.977913613	7.85706207	2.058562562	1.260518353	0	0	7.784247705	0	8.494051249	7.739135019	0	8.759584343	8.66821167	9.383584	0	2.339798016	5.23230331	8.400572532	0	1.472681018	7.732209579	6.777991985	10.076796892	10.123005613	8.877702778	7.355114898	8.402097551	8.039342733	8.364667858	8.795519761	8.104630793	0	8.413228071	6.045187242	0	5.274589087	7.880745033	8.298151156	8.622321827	9.917102648	5.06593033	5.171939177	9.150525716	0	3.595453286	8.14249257	7.54023578	8.08742313	9.135547582
DNAJB9	0	0	0	0	0	3.763197668	0	0	8.399607375	0	7.506457802	0	0	0	0	0	0	0	1.271027411	3.201636545	8.237034375	0	0	0	7.690901565	0	8.256322634	0	1.460359735	8.445947566	7.712793956	0	0	10.13508664	3.507419705	4.833815337	7.626390646	6.395240148	7.232487969	6.780059745	10.896749491	0	0	0	0	9.14000086	7.967430931	0	9.279665302	0	2.96484144	3.473117728	0	7.624057363	2.375026688	8.468479004	8.309364269	0	7.927423311	0	8.14347016	0	0	8.097359574	0	0	0	8.652777335	0	0	8.613169832	0	2.571164048	8.838507375	0	0	1.18350236	8.287990916	0	6.61741437	0	2.538913253	0	0	7.615511057	7.736056986	0	7.580050667	0	0	6.256532203	0	0	6.42586726	0	0	0	9.504320149	5.115564613	0
DNAJB11	6.185458265	5.239491882	0	0	6.612095713	0	0	6.502046601	0	8.451134531	0	0	0	0	0	7.645786864	0	0	6.702842571	0	4.680809821	7.858172851	0	0	6.201145183	8.082794493	7.908280453	5.167315626	1.737986489	0	0	6.761875531	7.018305272	0	9.158514844	4.707380721	0	3.849456093	7.120790884	8.500771557	0	2.917610406	0	0	0	0	7.141832245	0	0	0	7.681040736	0	7.489642008	6.922400021	7.870991082	5.182749447	0	0	0	0	0	0	0	0	2.334020923	6.541894732	0	8.794915702	0	0	0	8.13120982	8.648802924	8.215722568	5.350165432	9.025767529	7.844420116	1.280466942	6.97564809	9.036150173	9.266118751	8.662372519	0	8.901272487	0	0	8.241603175	8.774569186	0	0	0	7.614148172	0	8.059077097	2.417999677	8.413708551	1.188963352	0	5.554177725	0
DNAJC2	0	0	0	0	0	0	0	0	0	2.873402995	0	0	9.260491473	7.245633098	7.24887675	2.294903689	0	0	7.181500516	0	1.40230849	0	0	3.198343986	0	2.440478543	5.983351329	6.943659263	2.475199168	6.361426719	7.050071892	0	3.259367337	3.330644641	3.507419705	1.135171812	8.767621329	6.346128718	7.431310042	5.956306776	7.494506138	7.11556025	0	7.071933547	4.523240564	0	3.1358914	4.593700284	2.862709631	1.841750211	0	1.595011657	6.37356684	2.058562562	6.519293014	0	0	7.838453076	0	0.966216845	7.57453157	4.764041074	7.442640703	5.64319472	5.847726719	2.331339276	8.384179532	1.011787529	7.520819006	0	8.155478519	0.608941194	7.835247152	0	0	0	0	6.508398221	0	0	0	5.303491669	7.211895841	0	0	0	5.434089016	0	8.256615041	0	0	8.312152514	4.211413141	0	8.677239514	0	0	5.139878143	0	8.353124212
DNAJC7	7.32530187	0.820663308	0	7.56413433	8.823961489	7.994779566	7.553572316	7.685710422	7.989282587	0	0	8.85310714	0	0	8.092651853	5.458753896	0	6.931253428	0	0	1.40230849	9.118731949	7.403341112	0	6.159640096	5.853716059	0	8.945615659	6.82132633	0	2.100309227	8.057385937	7.534310936	0	0	8.340031401	2.844422029	7.984099141	0	7.967687389	0	7.393831097	0	6.210073969	0	6.461304801	0	8.122825847	0	0	7.099588925	2.820262456	0	0	7.729953343	9.763741374	5.251683642	3.238791784	0	0.966216845	6.412369796	3.281542647	0	7.400208459	8.995210096	0	0	0	2.184791776	0	0	5.278358125	0	0	3.628627543	7.251138805	7.377347139	0	1.161057925	7.67089483	0	0	0	7.334964061	0	0	0	7.799032167	2.56605326	0	0	0	0	7.225897366	0	0	2.274907455	8.605480013	4.152598156	8.74075379
DNAJC8	6.706129915	0	0	6.614360143	8.043323531	4.40086432	7.614652854	6.736672101	6.498833214	0	5.463103504	6.719124431	9.184743623	0	5.316663366	7.064421789	2.080428694	8.922360219	6.601498802	6.693489939	0	2.715236332	4.378418689	0	5.534790651	6.010581102	7.626647082	0	1.970712385	7.135430017	0	5.677453263	7.631100492	5.790866067	6.71039928	0	8.019119034	4.489498954	4.298126628	7.866725744	0	0	1.564777695	9.258285304	4.404547993	6.357191645	5.00722637	9.02729914	5.397107606	8.418472021	0	0	6.37356684	5.029324974	6.381166815	0	0	0	0	6.307506422	3.301675255	0	6.960527304	0	2.334020924	8.631507949	2.339798016	1.011787529	7.30321054	0	9.094423236	5.528633693	6.777991985	0	5.538382684	9.17782109	5.089716292	8.075131808	8.282113497	0	0	0	6.866624131	0	8.349531005	0	0	8.178742991	8.066151341	0	0	9.098088004	0	8.650852692	8.445195366	6.707139062	0	0	8.719214215	0
DNAJC11	0	8.52363391	0	0	0	6.392570077	0	0	0	4.460937611	0	0	9.592597058	0.846123224	8.483347876	6.156433457	8.864258384	0	0	0	0	7.823136937	0	7.111930185	0	0	0	0	0.663502415	2.603189053	0	0	6.207362887	0	0	0	6.873136523	2.670348356	8.534187775	5.486263309	3.456373457	0	0	9.253361076	7.800684105	0	5.795226776	3.652245475	0	0	0	0	0	0	0	0	0	0	0	0	7.897627958	0	0	0	0	0	0	0	9.197407332	0	0	0	0	0	0	3.213555058	8.574068228	0	0	0	6.08873124	0	0	0	0	0	0	8.025497664	0	6.94941674	0	0	0	3.032294215	0	0	0	0	1.401837336	1.607938901
