"cells"	"ct"	"umi"	"cdr"
"bBM304"	"bBM304"	"ER"	4685	0.0756957986172664
"bBM305"	"bBM305"	"ER"	4143	0.0681084914022336
"bBM306"	"bBM306"	"GR"	5215	0.0869703953199787
"bBM307"	"bBM307"	"GR"	4746	0.0638893813153696
"bBM308"	"bBM308"	"GR"	4394	0.0613366424392838
"bBM309"	"bBM309"	"ER"	4959	0.0795603616380074
"bBM310"	"bBM310"	"ER"	5378	0.0855167523488743
"bBM311"	"bBM311"	"ER"	4184	0.0737812444602021
"bBM312"	"bBM312"	"ER"	4694	0.0826094664066655
"bBM313"	"bBM313"	"GR"	4466	0.074703066832122
"bBM314"	"bBM314"	"ER"	5381	0.0879276723985109
"bBM315"	"bBM315"	"ER"	5399	0.0839212905513207
"bBM316"	"bBM316"	"ER"	4562	0.0740648821131005
"bBM317"	"bBM317"	"ER"	5198	0.0834958340719731
"bBM318"	"bBM318"	"ER"	4753	0.0745967027122851
"bBM319"	"bBM319"	"ER"	4806	0.0805885481297642
"bBM320"	"bBM320"	"GR"	4616	0.0669030313774154
"bBM321"	"bBM321"	"GR"	4184	0.0678248537493352
"bBM322"	"bBM322"	"ER"	4644	0.07775217160078
"bBM323"	"bBM323"	"ER"	4080	0.0671866690303138
"bBM324"	"bBM324"	"ER"	4623	0.0762630739230633
"bBM325"	"bBM325"	"ER"	4492	0.0755894344974295
"bBM326"	"bBM326"	"MO"	4197	0.0706612302783194
"bBM327"	"bBM327"	"GR"	4632	0.0570111682325829
"bBM328"	"bBM328"	"GR"	4356	0.0573657152987059
"bBM329"	"bBM329"	"DC"	3819	0.0695266796667258
"bBM330"	"bBM330"	"ER"	4530	0.0745612480056728
"bBM331"	"bBM331"	"GR"	4955	0.0782130827867399
"bBM332"	"bBM332"	"GR"	5482	0.0840276546711576
"bBM333"	"bBM333"	"ER"	4726	0.0773267151214324
"bBM334"	"bBM334"	"GR"	3921	0.0649530225137387
"bBM335"	"bBM335"	"ER"	2691	0.0144300655912072
"bBM336"	"bBM336"	"ER"	5263	0.0843822017372806
"bBM337"	"bBM337"	"GR"	4355	0.0715830526502393
"bBM338"	"bBM338"	"ER"	4300	0.0740648821131005
"bBM339"	"bBM339"	"GR"	5358	0.0813685516752349
"bBM340"	"bBM340"	"MO"	4373	0.0730366956213437
"bBM341"	"bBM341"	"GR"	4528	0.0721148732494239
"bBM342"	"bBM342"	"ER"	4944	0.081971281687644
"bBM343"	"bBM343"	"ER"	5039	0.0801276369438043
"bBM344"	"bBM344"	"ER"	5221	0.0818649175678071
"bBM345"	"bBM345"	"ER"	4655	0.0762985286296756
"bBM346"	"bBM346"	"ER"	3876	0.0676121255096614
"bBM347"	"bBM347"	"ER"	3934	0.012763694380429
"bBM348"	"bBM348"	"ER"	4794	0.0787449033859245
"bBM349"	"bBM349"	"DC"	4273	0.0745612480056728
"bBM350"	"bBM350"	"ER"	4407	0.0738166991668144
"bBM351"	"bBM351"	"GR"	4018	0.0474738521538734
"bBM352"	"bBM352"	"ER"	4987	0.0807303669562134
"bBM353"	"bBM353"	"GR"	4371	0.0561957099804999
"bBM354"	"bBM354"	"ER"	4565	0.0733203332742422
"bBM355"	"bBM355"	"LY"	4011	0.0647402942740649
"bBM356"	"bBM356"	"ER"	4113	0.0728594220882822
"bBM357"	"bBM357"	"GR"	4349	0.0689239496543166
"bBM358"	"bBM358"	"DC"	3736	0.0691366778939904
"bBM359"	"bBM359"	"MO"	3999	0.0680730366956213
"bBM360"	"bBM360"	"ER"	4172	0.0707321396915441
"bBM361"	"bBM361"	"ER"	4815	0.0739230632866513
"bBM362"	"bBM362"	"ER"	4265	0.0775394433611062
"bBM363"	"bBM363"	"ER"	3742	0.0650593866335756
"bBM364"	"bBM364"	"ER"	4433	0.0739939726998759
"bBM365"	"bBM365"	"GR"	4117	0.0686048572948059
"bBM366"	"bBM366"	"ER"	4134	0.0692430420138273
"bBM367"	"bBM367"	"ER"	4569	0.0785321751462507
"bBM368"	"bBM368"	"MO"	4095	0.0689948590675412
"bBM369"	"bBM369"	"ER"	4411	0.0632866513029605
"bBM370"	"bBM370"	"MO"	4326	0.0719730544229746
"bBM371"	"bBM371"	"ER"	4819	0.079276723985109
"bBM372"	"bBM372"	"LY"	4275	0.0772203510015955
"bBM373"	"bBM373"	"ER"	3668	0.0610530047863854
"bBM374"	"bBM374"	"ER"	4292	0.0730366956213437
"bBM375"	"bBM375"	"ER"	2826	0.00751639780180819
"bBM376"	"bBM376"	"ER"	4684	0.0802694557702535
"bBM377"	"bBM377"	"MO"	4343	0.0728594220882822
"bBM378"	"bBM378"	"ER"	4598	0.0760858003900018
"bBM379"	"bBM379"	"ER"	2840	0.00655912072327601
"bBM380"	"bBM380"	"ER"	4037	0.0667966672575784
"bBM381"	"bBM381"	"ER"	3693	0.0642439283814926
"bBM382"	"bBM382"	"ER"	3834	0.0675057613898245
"bBM383"	"bBM383"	"GR"	4043	0.0469065768480766
"bBM385"	"bBM385"	"ER"	4217	0.0758376174437157
"bBM386"	"bBM386"	"ER"	4210	0.0725048750221592
"bBM387"	"bBM387"	"ER"	4215	0.0698457720262365
"bBM388"	"bBM388"	"ER"	4692	0.0751285233114696
"bBM389"	"bBM389"	"ER"	4720	0.0771848962949832
"bBM390"	"bBM390"	"ER"	4110	0.0714412338237901
"bBM391"	"bBM391"	"ER"	3801	0.0672930331501507
"bBM392"	"bBM392"	"GR"	3285	0.0628966495302251
"bBM393"	"bBM393"	"ER"	3895	0.0683566743485198
"bBM394"	"bBM394"	"ER"	3777	0.0681794008154583
"bBM395"	"bBM395"	"GR"	3138	0.0572948058854813
"bBM396"	"bBM396"	"ER"	3983	0.0670448502038646
"bBM397"	"bBM397"	"GR"	3501	0.0429356497074987
"bBM398"	"bBM398"	"GR"	4478	0.0691366778939904
"bBM399"	"bBM399"	"ER"	4549	0.0776812621875554
"bBM400"	"bBM400"	"ER"	3201	0.0614075518525084
"bBM401"	"bBM401"	"ER"	3812	0.0699166814394611
"bBM402"	"bBM402"	"ER"	4305	0.0694557702535012
"bBM403"	"bBM403"	"ER"	4226	0.0723985109023223
"bBM404"	"bBM404"	"GR"	4523	0.0702712285055841
"bBM405"	"bBM405"	"GR"	3250	0.047544761567098
"bBM406"	"bBM406"	"DC"	3387	0.0640666548484311
"bBM407"	"bBM407"	"ER"	3758	0.0687112214146428
"bBM408"	"bBM408"	"ER"	4117	0.0692784967204396
"bBM409"	"bBM409"	"GR"	4081	0.0642084736748803
"bBM410"	"bBM410"	"ER"	3584	0.0650593866335756
"bBM411"	"bBM411"	"GR"	3897	0.0626839212905513
"bBM412"	"bBM412"	"ER"	3875	0.06697394079064
"bBM413"	"bBM413"	"ER"	3858	0.0627193759971636
"bBM414"	"bBM414"	"BA"	3822	0.0665484843112923
"bBM415"	"bBM415"	"ER"	3138	0.00904095018613721
"bBM416"	"bBM416"	"LY"	3871	0.0655557525261478
"bBM417"	"bBM417"	"ER"	3589	0.0588902676830349
"bBM419"	"bBM419"	"ER"	3815	0.0678248537493352
"bBM420"	"bBM420"	"ER"	3436	0.0603793653607516
"bBM421"	"bBM421"	"ER"	4208	0.0712994149973409
"bBM422"	"bBM422"	"GR"	3611	0.0627548307037759
"bBM423"	"bBM423"	"MO"	3933	0.0695266796667258
"bBM424"	"bBM424"	"ER"	3155	0.0455592979968091
"bBM425"	"bBM425"	"ER"	3973	0.0681439461088459
"bBM426"	"bBM426"	"ER"	3795	0.0537847899308633
"bBM427"	"bBM427"	"MK"	3242	0.063003013650062
"bBM428"	"bBM428"	"ER"	3074	0.0558411629143769
"bBM429"	"bBM429"	"MO"	3509	0.0634284701294097
"bBM430"	"bBM430"	"ER"	3322	0.0295692253146605
"bBM431"	"bBM431"	"ER"	3202	0.0606984577202624
"bBM432"	"bBM432"	"ER"	3553	0.0663712107782308
"bBM433"	"bBM433"	"GR"	3120	0.0471547597943627
"bBM434"	"bBM434"	"MO"	3781	0.0657330260592094
"bBM435"	"bBM435"	"ER"	3203	0.0617266442120191
"bBM436"	"bBM436"	"ER"	3193	0.0336465165750753
"bBM437"	"bBM437"	"ER"	3180	0.0610884594929977
"bBM438"	"bBM438"	"ER"	3563	0.0665484843112923
"bBM439"	"bBM439"	"ER"	2894	0.0136855167523489
"bBM440"	"bBM440"	"ER"	3924	0.0669030313774154
"bBM441"	"bBM441"	"ER"	3533	0.0585002659102996
"bBM442"	"bBM442"	"ER"	2798	0.0497429533770608
"bBM443"	"bBM443"	"GR"	3172	0.053040241092005
"bBM444"	"bBM444"	"ER"	2951	0.058074809430952
"bBM445"	"bBM445"	"GR"	3674	0.0656266619393725
"bBM446"	"bBM446"	"GR"	3774	0.0633575607161851
"bBM447"	"bBM447"	"ER"	3459	0.0639602907285942
"bBM448"	"bBM448"	"MK"	3280	0.0633575607161851
"bBM449"	"bBM449"	"ER"	3351	0.0622584648112037
"bBM450"	"bBM450"	"ER"	3591	0.066158482538557
"bBM451"	"bBM451"	"GR"	3780	0.0538202446374756
"bBM452"	"bBM452"	"ER"	2738	0.0037581989009041
"bBM453"	"bBM453"	"ER"	4220	0.0753412515511434
"bBM454"	"bBM454"	"MO"	3557	0.0678248537493352
